,date,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수
0,20220402,KIA,LG,0,9,5.0,5.0,0,5.0,5.0,A. 플럿코,양현종,14:00,토,광주,16908
1,20220402,KT,삼성,4,1,5.0,5.0,0,5.0,5.0,W. 쿠에바스,D. 뷰캐넌,14:00,토,수원,17057
2,20220402,NC,SSG,0,4,5.0,5.0,0,5.0,5.0,W. 폰트,심창민,14:00,토,창원,7814
3,20220402,두산,한화,6,4,5.0,5.0,0,5.0,5.0,R. 스탁,김민우,14:00,토,잠실,16271
4,20220402,키움,롯데,2,7,5.0,5.0,0,5.0,5.0,C. 반즈,안우진,14:00,토,고척,8257
5,20220403,KIA,LG,2,3,6.0,1.0,0,5.0,5.0,진해수,S. 놀린,14:00,일,광주,10290
6,20220403,KT,삼성,5,6,1.0,6.0,0,5.0,5.0,임대한,김재윤,14:00,일,수원,10321
7,20220403,NC,SSG,1,4,6.0,1.0,0,5.0,5.0,노경은,W. 파슨스,14:00,일,창원,4808
8,20220403,두산,한화,1,0,1.0,6.0,0,5.0,5.0,최원준,N. 킹험,14:00,일,잠실,11345
9,20220403,키움,롯데,4,3,6.0,1.0,0,5.0,5.0,이승호,최준용,14:00,일,고척,6115
10,20220405,KIA,한화,4,3,8.0,8.0,0,5.0,5.0,유승철,장시환,18:30,화,광주,2840
11,20220405,KT,SSG,5,8,5.0,1.0,0,5.0,5.0,박민호,O. 데스파이네,18:30,화,수원,2055
12,20220405,NC,롯데,1,5,8.0,5.0,0,5.0,5.0,김진욱,신민혁,18:30,화,창원,3246
13,20220405,두산,삼성,5,6,1.0,5.0,0,5.0,5.0,이재익,홍건희,18:30,화,잠실,4109
14,20220405,키움,LG,4,8,5.0,1.0,0,5.0,5.0,임찬규,노운현,18:30,화,고척,2298
15,20220406,KIA,한화,7,4,7.0,9.0,0,5.0,5.0,윤중현,김재영,18:30,수,광주,3117
16,20220406,KT,SSG,0,3,7.0,1.0,0,5.0,5.0,오원석,고영표,18:30,수,수원,2094
17,20220406,NC,롯데,5,0,9.0,4.0,0,5.0,5.0,송명기,이인복,18:30,수,창원,3000
18,20220406,두산,삼성,1,7,4.0,4.0,0,5.0,5.0,양창섭,곽빈,18:30,수,잠실,4161
19,20220406,키움,LG,1,2,7.0,1.0,0,5.0,5.0,진해수,박주성,18:30,수,고척,2304
20,20220407,KIA,한화,6,2,5.0,9.0,0,5.0,5.0,유승철,김범수,18:30,목,광주,2773
21,20220407,KT,SSG,3,4,8.0,1.0,0,5.0,5.0,이태양,소형준,18:30,목,수원,2530
22,20220407,NC,롯데,1,2,8.0,5.0,0,5.0,5.0,C. 반즈,이재학,18:30,목,창원,3017
23,20220407,두산,삼성,6,5,5.0,2.0,0,5.0,5.0,홍건희,우규민,18:30,목,잠실,4055
24,20220407,키움,LG,0,6,8.0,1.0,0,5.0,5.0,김윤식,정찬헌,18:30,목,고척,2055
25,20220408,LG,NC,1,4,1.0,8.0,0,5.6,1.6,D. 루친스키,A. 플럿코,18:30,금,잠실,10623
26,20220408,SSG,KIA,3,0,1.0,5.0,0,4.6,3.8,서진용,홍상삼,18:30,금,문학,15615
27,20220408,롯데,두산,1,6,5.0,5.0,0,3.4,3.8,R. 스탁,이승헌,18:30,금,사직,8860
28,20220408,삼성,키움,0,1,5.0,8.0,0,5.0,2.2,안우진,D. 뷰캐넌,18:30,금,대구,9244
29,20220408,한화,KT,2,4,9.0,8.0,0,2.6,3.4,W. 쿠에바스,윤호솔,18:30,금,대전,5520
30,20220409,LG,NC,7,6,2.0,9.0,0,4.0,2.4,이민호,W. 파슨스,17:00,토,잠실,14328
31,20220409,SSG,KIA,9,5,1.0,6.0,0,4.4,3.8,김광현,이민우,17:00,토,문학,21005
32,20220409,롯데,두산,5,4,6.0,3.0,0,2.2,3.8,박세웅,최원준,17:00,토,사직,13045
