지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2022/11/01,42
108,서울,2022/11/02,33
108,서울,2022/11/03,28
108,서울,2022/11/04,27
108,서울,2022/11/05,34
108,서울,2022/11/06,29
108,서울,2022/11/07,36
108,서울,2022/11/08,41
108,서울,2022/11/09,65
108,서울,2022/11/10,69
108,서울,2022/11/11,53
108,서울,2022/11/12,45
108,서울,2022/11/13,17
108,서울,2022/11/14,23
108,서울,2022/11/15,31
108,서울,2022/11/16,27
108,서울,2022/11/17,38
108,서울,2022/11/18,38
108,서울,2022/11/19,31
108,서울,2022/11/20,29
108,서울,2022/11/21,36
108,서울,2022/11/22,53
108,서울,2022/11/23,37
108,서울,2022/11/24,49
108,서울,2022/11/25,52
108,서울,2022/11/26,64
108,서울,2022/11/27,22
108,서울,2022/11/28,30
108,서울,2022/11/29,17
108,서울,2022/11/30,24
108,서울,2022/12/01,25
108,서울,2022/12/02,23
108,서울,2022/12/03,36
108,서울,2022/12/04,16
108,서울,2022/12/05,22
108,서울,2022/12/06,30
108,서울,2022/12/07,37
108,서울,2022/12/08,31
108,서울,2022/12/09,39
108,서울,2022/12/10,37
108,서울,2022/12/11,43
108,서울,2022/12/12,32
108,서울,2022/12/13,247
108,서울,2022/12/14,59
108,서울,2022/12/15,34
108,서울,2022/12/16,31
108,서울,2022/12/17,25
108,서울,2022/12/18,23
108,서울,2022/12/19,23
108,서울,2022/12/20,33
108,서울,2022/12/21,39
108,서울,2022/12/22,30
108,서울,2022/12/23,22
108,서울,2022/12/24,30
108,서울,2022/12/25,41
108,서울,2022/12/26,46
108,서울,2022/12/27,46
108,서울,2022/12/28,35
108,서울,2022/12/29,30
108,서울,2022/12/30,34
108,서울,2022/12/31,48
108,서울,2023/01/01,55
108,서울,2023/01/02,26
108,서울,2023/01/03,30
108,서울,2023/01/04,35
108,서울,2023/01/05,48
108,서울,2023/01/06,72
108,서울,2023/01/07,126
108,서울,2023/01/08,161
108,서울,2023/01/09,106
108,서울,2023/01/10,68
108,서울,2023/01/11,75
108,서울,2023/01/12,50
108,서울,2023/01/13,16
108,서울,2023/01/16,23
108,서울,2023/01/17,34
108,서울,2023/01/18,58
108,서울,2023/01/19,73
108,서울,2023/01/20,75
108,서울,2023/01/21,28
108,서울,2023/01/22,30
108,서울,2023/01/23,60
108,서울,2023/01/24,34
108,서울,2023/01/25,24
108,서울,2023/01/26,30
108,서울,2023/01/27,48
108,서울,2023/01/28,43
108,서울,2023/01/29,55
108,서울,2023/01/30,51
108,서울,2023/01/31,42
108,서울,2023/02/01,63
108,서울,2023/02/02,50
108,서울,2023/02/03,43
108,서울,2023/02/04,39
108,서울,2023/02/05,63
108,서울,2023/02/06,70
108,서울,2023/02/07,74
108,서울,2023/02/08,68
108,서울,2023/02/09,35
108,서울,2023/02/10,21
108,서울,2023/02/11,41
108,서울,2023/02/12,67
108,서울,2023/02/13,31
108,서울,2023/02/14,42
108,서울,2023/02/15,18
108,서울,2023/02/16,26
108,서울,2023/02/17,40
108,서울,2023/02/18,76
108,서울,2023/02/19,39
108,서울,2023/02/20,46
108,서울,2023/02/21,34
108,서울,2023/02/22,40
108,서울,2023/02/23,39
108,서울,2023/02/24,44
108,서울,2023/02/25,42
108,서울,2023/02/26,38
108,서울,2023/02/27,47
108,서울,2023/02/28,33
108,서울,2023/03/01,33
108,서울,2023/03/02,61
108,서울,2023/03/03,44
108,서울,2023/03/04,65
108,서울,2023/03/05,61
108,서울,2023/03/06,49
108,서울,2023/03/07,59
108,서울,2023/03/08,61
108,서울,2023/03/09,59
108,서울,2023/03/10,96
108,서울,2023/03/11,104
108,서울,2023/03/12,54
108,서울,2023/03/13,40
108,서울,2023/03/14,47
108,서울,2023/03/15,55
108,서울,2023/03/16,71
108,서울,2023/03/17,46
108,서울,2023/03/18,66
108,서울,2023/03/19,98
108,서울,2023/03/20,78
108,서울,2023/03/21,55
108,서울,2023/03/22,63
108,서울,2023/03/23,129
108,서울,2023/03/24,161
108,서울,2023/03/25,117
108,서울,2023/03/26,68
108,서울,2023/03/27,51
108,서울,2023/03/28,66
108,서울,2023/03/29,71
108,서울,2023/03/30,91
108,서울,2023/03/31,103
108,서울,2023/04/01,88
108,서울,2023/04/02,52
108,서울,2023/04/03,52
108,서울,2023/04/04,32
108,서울,2023/04/06,63
108,서울,2023/04/07,93
108,서울,2023/04/08,46
108,서울,2023/04/09,67
108,서울,2023/04/10,48
108,서울,2023/04/11,68
108,서울,2023/04/12,333
108,서울,2023/04/13,226
108,서울,2023/04/14,109
108,서울,2023/04/15,61
108,서울,2023/04/16,118
108,서울,2023/04/17,117
108,서울,2023/04/18,55
108,서울,2023/04/19,44
108,서울,2023/04/20,15
108,서울,2023/04/21,64
108,서울,2023/04/22,62
108,서울,2023/04/23,59
108,서울,2023/04/24,60
108,서울,2023/04/25,31
108,서울,2023/04/26,28
108,서울,2023/04/27,43
108,서울,2023/04/28,38
108,서울,2023/04/29,25
108,서울,2023/04/30,47
108,서울,2023/05/01,54
108,서울,2023/05/02,39
108,서울,2023/05/03,47
108,서울,2023/05/04,48
108,서울,2023/05/07,36
108,서울,2023/05/08,42
108,서울,2023/05/09,57
108,서울,2023/05/10,59
108,서울,2023/05/11,51
108,서울,2023/05/12,52
108,서울,2023/05/13,38
108,서울,2023/05/14,25
108,서울,2023/05/15,38
108,서울,2023/05/16,62
108,서울,2023/05/17,37
108,서울,2023/05/18,33
108,서울,2023/05/19,24
108,서울,2023/05/20,28
108,서울,2023/05/21,89
108,서울,2023/05/22,148
108,서울,2023/05/23,67
108,서울,2023/05/24,40
108,서울,2023/05/25,37
108,서울,2023/05/26,35
108,서울,2023/05/27,26
108,서울,2023/05/28,11
108,서울,2023/05/29,19
108,서울,2023/05/30,34
108,서울,2023/05/31,31
108,서울,2023/06/01,38
108,서울,2023/06/02,29
108,서울,2023/06/03,38
108,서울,2023/06/04,39
108,서울,2023/06/05,32
108,서울,2023/06/06,22
108,서울,2023/06/07,37
108,서울,2023/06/08,22
108,서울,2023/06/10,34
108,서울,2023/06/11,24
108,서울,2023/06/12,29
108,서울,2023/06/13,27
108,서울,2023/06/14,26
108,서울,2023/06/15,30
108,서울,2023/06/16,25
108,서울,2023/06/17,21
108,서울,2023/06/18,26
108,서울,2023/06/19,50
108,서울,2023/06/20,36
108,서울,2023/06/21,11
108,서울,2023/06/22,23
108,서울,2023/06/23,33
108,서울,2023/06/24,39
108,서울,2023/06/25,32
108,서울,2023/06/26,16
108,서울,2023/06/27,18
108,서울,2023/06/28,33
108,서울,2023/06/29,33
108,서울,2023/06/30,33
108,서울,2023/07/01,27
108,서울,2023/07/02,21
108,서울,2023/07/03,33
108,서울,2023/07/04,33
108,서울,2023/07/05,26
108,서울,2023/07/06,49
108,서울,2023/07/07,47
108,서울,2023/07/08,13
108,서울,2023/07/10,32
108,서울,2023/07/11,20
108,서울,2023/07/12,25
108,서울,2023/07/13,24
108,서울,2023/07/14,17
108,서울,2023/07/15,22
108,서울,2023/07/16,31
108,서울,2023/07/17,27
108,서울,2023/07/18,21
108,서울,2023/07/19,32
108,서울,2023/07/20,56
108,서울,2023/07/21,65
108,서울,2023/07/22,33
108,서울,2023/07/23,10
108,서울,2023/07/24,21
108,서울,2023/07/25,18
108,서울,2023/07/26,14
108,서울,2023/07/27,24
108,서울,2023/07/28,33
108,서울,2023/07/29,33
108,서울,2023/07/30,19
108,서울,2023/07/31,32
108,서울,2023/08/01,31
108,서울,2023/08/02,33
108,서울,2023/08/03,23
108,서울,2023/08/04,22
108,서울,2023/08/05,20
108,서울,2023/08/06,23
108,서울,2023/08/07,11
108,서울,2023/08/11,19
108,서울,2023/08/12,18
108,서울,2023/08/13,29
108,서울,2023/08/14,40
108,서울,2023/08/15,28
108,서울,2023/08/16,21
108,서울,2023/08/17,28
108,서울,2023/08/18,38
108,서울,2023/08/19,26
108,서울,2023/08/20,26
108,서울,2023/08/21,25
108,서울,2023/08/22,22
108,서울,2023/08/23,10
108,서울,2023/08/24,10
108,서울,2023/08/25,20
108,서울,2023/08/26,38
108,서울,2023/08/27,29
108,서울,2023/08/28,14
108,서울,2023/08/29,16
108,서울,2023/08/30,19
108,서울,2023/08/31,21
108,서울,2023/09/01,26
108,서울,2023/09/02,30
108,서울,2023/09/03,21
108,서울,2023/09/04,20
108,서울,2023/09/05,19
108,서울,2023/09/06,19
108,서울,2023/09/07,18
108,서울,2023/09/09,32
108,서울,2023/09/10,38
108,서울,2023/09/11,29
108,서울,2023/09/12,31
108,서울,2023/09/13,23
108,서울,2023/09/14,10
108,서울,2023/09/15,10
108,서울,2023/09/16,11
108,서울,2023/09/17,17
108,서울,2023/09/18,19
108,서울,2023/09/19,28
108,서울,2023/09/20,22
108,서울,2023/09/22,25
108,서울,2023/09/23,19
108,서울,2023/09/24,13
108,서울,2023/09/25,14
108,서울,2023/09/27,12
108,서울,2023/09/28,49
108,서울,2023/09/29,32
108,서울,2023/09/30,29
108,서울,2023/10/01,28
108,서울,2023/10/02,21
108,서울,2023/10/03,21
108,서울,2023/10/04,22
108,서울,2023/10/05,36
108,서울,2023/10/06,27
108,서울,2023/10/07,24
108,서울,2023/10/08,12
108,서울,2023/10/09,16
108,서울,2023/10/10,29
108,서울,2023/10/11,27
108,서울,2023/10/12,30
108,서울,2023/10/13,38
108,서울,2023/10/14,25
108,서울,2023/10/15,26
108,서울,2023/10/16,46
108,서울,2023/10/17,37
108,서울,2023/10/18,33
108,서울,2023/10/19,30
108,서울,2023/10/20,19
108,서울,2023/10/21,21
108,서울,2023/10/22,27
108,서울,2023/10/23,29
108,서울,2023/10/24,32
108,서울,2023/10/25,34
108,서울,2023/10/26,46
108,서울,2023/10/27,28
108,서울,2023/10/28,36
108,서울,2023/10/29,31
108,서울,2023/10/30,40
108,서울,2023/10/31,43
119,수원,2022/04/01,25
119,수원,2022/04/02,46
119,수원,2022/04/03,70
119,수원,2022/04/04,76
119,수원,2022/04/05,73
119,수원,2022/04/06,65
119,수원,2022/04/07,42
119,수원,2022/04/08,52
119,수원,2022/04/09,62
119,수원,2022/04/10,47
119,수원,2022/04/11,39
119,수원,2022/04/12,49
119,수원,2022/04/13,26
119,수원,2022/04/14,16
119,수원,2022/04/15,24
119,수원,2022/04/16,48
119,수원,2022/04/17,69
119,수원,2022/04/18,77
119,수원,2022/04/19,83
119,수원,2022/04/20,96
119,수원,2022/04/21,64
119,수원,2022/04/22,56
119,수원,2022/04/23,66
119,수원,2022/04/24,69
119,수원,2022/04/25,80
119,수원,2022/04/26,42
119,수원,2022/04/27,111
119,수원,2022/04/28,65
119,수원,2022/04/29,20
119,수원,2022/04/30,30
119,수원,2022/05/01,54
119,수원,2022/05/02,66
119,수원,2022/05/03,53
119,수원,2022/05/04,52
119,수원,2022/05/05,42
119,수원,2022/05/06,48
119,수원,2022/05/07,42
119,수원,2022/05/08,28
119,수원,2022/05/09,24
119,수원,2022/05/10,39
119,수원,2022/05/11,39
119,수원,2022/05/12,46
119,수원,2022/05/13,46
119,수원,2022/05/14,39
119,수원,2022/05/15,39
119,수원,2022/05/16,42
119,수원,2022/05/17,63
119,수원,2022/05/18,73
119,수원,2022/05/19,41
119,수원,2022/05/20,50
119,수원,2022/05/21,39
119,수원,2022/05/22,52
119,수원,2022/05/23,71
119,수원,2022/05/24,46
119,수원,2022/05/26,28
119,수원,2022/05/27,27
119,수원,2022/05/28,42
119,수원,2022/05/29,38
119,수원,2022/05/30,36
119,수원,2022/05/31,26
119,수원,2022/06/01,31
119,수원,2022/06/02,34
119,수원,2022/06/03,43
119,수원,2022/06/04,34
119,수원,2022/06/05,27
119,수원,2022/06/07,25
119,수원,2022/06/08,24
119,수원,2022/06/09,31
119,수원,2022/06/10,37
119,수원,2022/06/11,33
119,수원,2022/06/12,26
119,수원,2022/06/13,34
119,수원,2022/06/14,19
119,수원,2022/06/15,24
119,수원,2022/06/16,21
119,수원,2022/06/17,37
119,수원,2022/06/18,27
119,수원,2022/06/19,26
119,수원,2022/06/20,31
119,수원,2022/06/21,26
119,수원,2022/06/22,35
119,수원,2022/06/23,43
119,수원,2022/06/24,24
119,수원,2022/06/25,50
119,수원,2022/06/26,21
119,수원,2022/06/27,18
119,수원,2022/06/28,15
119,수원,2022/06/29,22
119,수원,2022/07/01,36
119,수원,2022/07/02,45
119,수원,2022/07/03,46
119,수원,2022/07/04,43
119,수원,2022/07/05,51
