index,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match,pythagorean_expectation,games_back,home_win_rate,3game_results,3game_evens,home_view,home_recommend,home_reply,away_view,away_recommend,away_reply
21,NC,Kiwoom,2,0,4.0,1.0,0,5.0,2.6,E. 페디,안우진,18:30,금,창원,6867,4,2023,0,2.5,12.9,45.0,20230407,7853.619718309859,7853.619718309859,even,0.5,1.0,0.4,0,0,87991.0,2283.0,559.0,328253.0,10734.0,1790.0
22,Lotte,KT,1,7,8.0,8.0,0,5.0,5.0,고영표,한현희,18:30,금,사직,14734,4,2023,0,4.0,13.2,45.0,20230407,12215.684931506848,12215.684931506848,even,0.5,0.5,0.3333333333333333,0,0,438870.0,8658.0,1792.0,35490.0,1100.0,351.0
23,Hanhwa,SSG,3,7,8.0,4.0,0,5.0,5.0,서진용,한승혁,18:30,금,대전,10415,4,2023,0,0.0,8.0,76.0,20230407,7764.178082191781,7764.178082191781,even,0.5,1.5,0.25,0,0,501583.0,16042.0,2210.0,122343.0,2822.0,564.0
24,KIA,Doosan,7,6,9.0,1.0,0,5.0,2.8,정해영,김명신,17:00,토,광주,16432,4,2023,0,0.0,7.3,44.0,20230408,12821.0,10098.94366197183,lose,0.4172413793103448,1.5,0.3333333333333333,0,0,353573.0,12506.0,1847.0,342627.0,12315.0,1701.0
25,LG,Samsung,2,1,1.0,6.0,0,6.0,3.6,이정용,오승환,17:00,토,잠실,22141,4,2023,0,0.0,9.7,46.0,20230408,17201.0,16938.549295774646,win,0.674648620510151,1.5,0.6666666666666666,0,0,178851.0,4247.0,963.0,303650.0,7036.0,1405.0
26,NC,Kiwoom,11,5,4.0,4.0,0,3.8,2.0,김진호,김동혁,17:00,토,창원,9763,4,2023,0,0.0,10.7,27.0,20230408,6867.0,7853.619718309859,win,0.6923076923076923,0.0,0.5,0,0,173611.0,7271.0,1242.0,276555.0,9015.0,1641.0
27,Lotte,KT,3,7,9.0,6.0,0,5.0,5.0,W. 벤자민,D. 스트레일리,17:00,토,사직,16555,4,2023,0,0.0,11.2,27.0,20230408,14734.0,12215.684931506848,lose,0.288235294117647,1.5,0.25,0,0,421219.0,10190.0,2131.0,56186.0,1931.0,595.0
28,Hanhwa,SSG,5,7,9.0,4.0,0,5.0,5.0,고효준,남지민,17:00,토,대전,11232,4,2023,0,0.0,7.2,41.0,20230408,10415.0,7764.178082191781,lose,0.5,2.5,0.2,0,0,474171.0,13544.0,2418.0,368841.0,11921.0,1717.0
29,KIA,Doosan,2,3,8.0,4.0,0,5.0,4.0,곽빈,A. 메디나,14:00,일,광주,14070,4,2023,0,0.0,9.2,63.0,20230409,16432.0,10098.94366197183,win,0.472992700729927,1.5,0.5,0,0,550292.0,21298.0,2726.0,190220.0,6741.0,1099.0
30,LG,Samsung,3,2,1.0,8.0,0,4.4,3.8,이정용,이승현,14:00,일,잠실,20439,4,2023,0,0.0,11.6,67.0,20230409,22141.0,16938.549295774646,win,0.6811320754716981,2.5,0.7142857142857143,0,0,299691.0,10095.0,1925.0,267242.0,6532.0,1135.0
31,NC,Kiwoom,6,1,4.0,6.0,0,4.8,1.6,송명기,A. 후라도,14:00,일,창원,7686,4,2023,0,0.0,12.5,42.0,20230409,9763.0,7853.619718309859,win,0.7318803852002027,1.0,0.5714285714285714,0,0,260878.0,9851.0,1788.0,234696.0,7944.0,1629.0
32,Lotte,KT,5,3,10.0,6.0,0,3.4,5.0,나균안,박세진,14:00,일,사직,12283,4,2023,0,0.0,12.9,42.0,20230409,16555.0,12215.684931506848,lose,0.2557522123893805,2.5,0.2,0,0,547995.0,14010.0,2646.0,46041.0,1764.0,503.0
33,Hanhwa,SSG,0,3,10.0,4.0,0,5.6,5.2,K. 맥카티,F. 페냐,14:00,일,대전,9455,4,2023,0,0.0,8.9,56.0,20230409,11232.0,7764.178082191781,lose,0.4677754677754678,3.5,0.1666666666666666,0,0,566927.0,14536.0,2761.0,441862.0,14672.0,2157.0
34,KIA,Hanhwa,4,5,9.0,10.0,0,4.0,4.4,김범수,정해영,18:30,화,광주,3623,4,2023,0,0.0,15.7,33.0,20230411,14070.0,10098.94366197183,even,0.4524886877828054,2.0,0.4,0,0,243417.0,8002.0,1313.0,190902.0,4941.0,1615.0
35,NC,KT,1,0,4.0,6.0,0,6.0,7.4,신민혁,B. 슐서,18:30,화,창원,2069,4,2023,0,0.0,17.1,25.0,20230411,7686.0,7853.619718309859,even,0.7707006369426752,1.5,0.625,0,0,211252.0,6557.0,1447.0,38108.0,1343.0,353.0
36,Doosan,Kiwoom,6,4,4.0,6.0,0,4.4,1.6,박치국,김동혁,18:30,화,잠실,4372,4,2023,0,2.0,14.0,68.0,20230411,3724.0,11464.0,even,0.4777887462981244,2.0,0.625,0,0,154512.0,5460.0,804.0,99014.0,3111.0,699.0
36,Doosan,Kiwoom,6,4,4.0,6.0,0,4.4,1.6,박치국,김동혁,18:30,화,잠실,4372,4,2023,0,2.0,14.0,68.0,20230411,3724.0,11464.0,even,0.4777887462981244,2.0,0.625,0,0,154512.0,5460.0,804.0,99014.0,3111.0,699.0
37,Lotte,LG,6,5,9.0,1.0,0,2.4,3.6,신정락,정우영,18:30,화,사직,5286,4,2023,0,0.0,17.6,25.0,20230411,12283.0,12215.684931506848,even,0.3209549071618037,3.0,0.3333333333333333,0,0,411177.0,8946.0,1893.0,124586.0,2575.0,657.0
38,Samsung,SSG,4,5,9.0,4.0,0,2.6,5.0,노경은,이승현,18:30,화,대구,3907,4,2023,0,0.0,17.9,44.4,20230411,6525.0,11912.323943661971,even,0.2461538461538461,3.5,0.2857142857142857,0,0,230909.0,6974.0,1147.0,250051.0,6744.0,1146.0
39,KIA,Hanhwa,2,0,7.0,7.0,0,4.6,4.2,S. 앤더슨,문동주,18:30,수,광주,5252,4,2023,0,0.0,11.3,224.0,20230412,3623.0,10098.94366197183,lose,0.4413793103448276,1.0,0.3333333333333333,0,0,341303.0,10817.0,1682.0,442443.0,14473.0,2353.0
40,NC,KT,5,1,1.0,4.0,0,4.4,5.2,이용준,고영표,18:30,수,창원,2448,4,2023,0,0.0,15.1,190.0,20230412,2069.0,7853.619718309859,win,0.7785467128027682,1.5,0.6666666666666666,0,0,148984.0,5683.0,959.0,36149.0,973.0,311.0
41,Lotte,LG,8,12,4.0,1.0,0,3.2,4.4,김영준,김원중,18:30,수,사직,6519,4,2023,0,0.0,14.2,190.0,20230412,5286.0,12215.684931506848,win,0.3641430562006502,2.0,0.4285714285714285,0,0,688481.0,18372.0,3116.0,131401.0,2299.0,528.0
42,Samsung,SSG,0,3,7.0,1.0,0,2.0,5.0,문승원,백정현,18:30,수,대구,5405,4,2023,0,0.0,14.5,232.0,20230412,3907.0,11770.2,lose,0.2358490566037736,4.5,0.25,0,0,264138.0,7517.0,1259.0,328122.0,9325.0,1645.0
43,KIA,Hanhwa,1,5,6.0,8.0,0,3.2,2.6,장민재,이의리,18:30,목,광주,5457,4,2023,0,0.0,13.1,101.0,20230413,5252.0,10439.6,win,0.4811387900355872,2.0,0.4285714285714285,0,0,563400.0,18894.0,2627.0,627730.0,16342.0,2469.0
44,NC,KT,3,10,1.0,6.0,0,5.0,3.6,손동현,E. 페디,18:30,목,창원,3174,4,2023,0,0.0,14.6,72.0,20230413,2448.0,5766.6,win,0.8,2.5,0.7,0,0,279385.0,10921.0,2144.0,51223.0,1266.0,356.0
45,Doosan,Kiwoom,2,9,2.0,6.0,0,5.0,2.0,안우진,김동주,18:30,목,잠실,6917,4,2023,0,0.0,13.2,226.0,20230413,4372.0,7588.4,win,0.5511475409836065,3.0,0.6666666666666666,0,0,196186.0,5896.0,990.0,176654.0,5457.0,1047.0
45,Doosan,Kiwoom,2,9,2.0,6.0,0,5.0,2.0,안우진,김동주,18:30,목,잠실,6917,4,2023,0,0.0,13.2,226.0,20230413,4372.0,7588.4,win,0.5511475409836065,3.0,0.6666666666666666,0,0,196186.0,5896.0,990.0,176654.0,5457.0,1047.0
46,Lotte,LG,8,7,6.0,1.0,0,4.6,5.8,한현희,C. 켈리,18:30,목,사직,6505,4,2023,0,0.0,15.6,72.0,20230413,6519.0,11075.4,lose,0.3505545036516094,3.0,0.375,0,0,874049.0,21877.0,3352.0,161782.0,5356.0,768.0
47,Samsung,SSG,11,9,8.0,1.0,0,1.8,5.0,오승환,고효준,18:30,목,대구,4648,4,2023,0,0.0,15.7,122.0,20230413,5405.0,8051.2,lose,0.2133834073062478,5.5,0.2222222222222222,0,0,433831.0,10030.0,1713.0,404955.0,12758.0,2088.0
48,KT,Hanhwa,7,7,5.0,8.0,0,4.2,3.0,,,18:30,금,수원,7145,4,2023,0,0.0,15.1,93.0,20230414,14700.0,9552.739726027396,even,0.6097560975609756,2.0,0.5,0,0,61107.0,2160.0,576.0,501661.0,16072.0,2683.0
49,LG,Doosan,13,4,1.0,2.0,0,5.8,4.2,김윤식,R. 알칸타라,18:30,금,잠실,16528,4,2023,0,0.0,16.9,109.0,20230414,20439.0,16938.549295774646,even,0.681947261663286,0.5,0.6363636363636364,0,0,189807.0,3545.0,764.0,160986.0,5662.0,853.0
50,SSG,NC,2,1,1.0,1.0,0,5.4,5.2,송영진,송명기,18:30,금,문학,8218,4,2023,0,0.0,15.1,109.0,20230414,5809.0,14633.027397260274,even,0.5433962264150943,1.0,0.7777777777777778,0,0,357678.0,9097.0,1942.0,220418.0,5837.0,1544.0
51,Samsung,Lotte,9,7,8.0,5.0,0,3.6,6.0,D. 뷰캐넌,D. 스트레일리,18:30,금,대구,9124,4,2023,0,0.5,16.3,61.0,20230414,4648.0,5284.2,even,0.2851485148514851,1.5,0.3,0,0,514658.0,15976.0,2389.0,784060.0,20942.0,3857.0
53,KT,Hanhwa,2,7,7.0,9.0,0,4.2,3.4,F. 페냐,배제성,17:00,토,수원,13212,4,2023,0,0.0,12.0,66.0,20230415,7145.0,9552.739726027396,even,0.6427964300892478,2.0,0.5,0,0,68049.0,2123.0,582.0,508842.0,13931.0,2430.0
54,LG,Doosan,3,1,1.0,3.0,0,8.0,4.2,A. 플럿코,곽빈,17:00,토,잠실,21243,4,2023,0,1.5,14.0,61.0,20230415,16528.0,16938.549295774646,win,0.676,1.5,0.6666666666666666,0,0,306180.0,8790.0,1451.0,174608.0,4863.0,1041.0
55,SSG,NC,0,1,1.0,2.0,0,4.4,3.2,이용찬,백승건,17:00,토,문학,13956,4,2023,0,3.0,11.7,61.0,20230415,8218.0,14633.027397260274,win,0.6528761688863701,2.0,0.8,0,0,424506.0,14227.0,1960.0,136970.0,2955.0,594.0
56,Samsung,Lotte,5,9,7.0,7.0,0,5.2,6.8,나균안,A. 수아레즈,17:00,토,대구,18231,4,2023,0,1.0,12.8,31.0,20230415,9124.0,5921.8,win,0.3308282960300604,0.5,0.3636363636363636,0,0,567657.0,17383.0,2781.0,670963.0,18503.0,3078.0
58,KT,Hanhwa,14,2,9.0,9.0,0,4.0,4.8,B. 슐서,남지민,14:00,일,수원,13010,4,2023,0,0.0,10.0,109.0,20230416,13212.0,9552.739726027396,lose,0.5850891410048622,1.0,0.4444444444444444,0,0,74922.0,2232.0,599.0,864174.0,26713.0,4139.0
59,LG,Doosan,5,10,1.0,5.0,0,8.0,3.2,정철원,정우영,14:00,일,잠실,20090,4,2023,0,0.0,11.9,118.0,20230416,21243.0,19510.4,win,0.6844356353014813,2.5,0.6923076923076923,0,0,249807.0,8522.0,1557.0,201144.0,5475.0,1227.0
60,SSG,NC,5,10,3.0,3.0,0,3.8,2.2,하준영,오원석,14:00,일,문학,13460,4,2023,0,0.0,10.3,118.0,20230416,13956.0,14796.6,lose,0.64,1.0,0.7272727272727273,0,0,398981.0,13268.0,1973.0,300396.0,11611.0,2291.0
61,Samsung,Lotte,9,1,9.0,6.0,0,5.8,7.6,원태인,C. 반즈,14:00,일,대구,16076,4,2023,0,0.0,11.9,83.0,20230416,18231.0,8263.0,lose,0.3193255843658193,1.5,0.3333333333333333,0,0,411912.0,11070.0,1744.0,965356.0,26298.0,4663.0
63,KT,SSG,4,2,7.0,2.0,0,6.8,3.8,고영표,문승원,18:30,화,수원,3398,4,2023,0,0.0,13.3,57.0,20230418,13010.0,13353.4,even,0.6684789815674314,2.0,0.5,0,0,43671.0,1545.0,423.0,104939.0,1911.0,643.0
64,LG,NC,4,6,1.0,1.0,0,8.0,4.0,김시훈,이우찬,18:30,화,잠실,6574,4,2023,0,2.0,14.1,55.0,20230418,20090.0,20088.2,even,0.6364340418208416,0.0,0.6428571428571429,0,0,89711.0,1912.0,454.0,102211.0,2609.0,544.0
