,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match
0,KIA,LG,0,9,5.0,5.0,0,5.0,5.0,A. 플럿코,양현종,14:00,토,광주,16908,04,2022,0,0.0,7.4,21.0,20220402,8394.361111111111,8394.361111111111,even
1,KT,Samsung,4,1,5.0,5.0,0,5.0,5.0,W. 쿠에바스,D. 뷰캐넌,14:00,토,수원,17057,04,2022,0,0.0,5.4,46.0,20220402,7392.611111111111,7392.611111111111,even
2,NC,SSG,0,4,5.0,5.0,0,5.0,5.0,W. 폰트,심창민,14:00,토,창원,7814,04,2022,0,0.0,10.5,23.0,20220402,5125.25,5125.25,even
3,Doosan,Hanhwa,6,4,5.0,5.0,0,5.0,5.0,R. 스탁,김민우,14:00,토,잠실,16271,04,2022,0,0.0,9.3,34.0,20220402,8952.972222222223,8952.972222222223,even
4,Kiwoom,Lotte,2,7,5.0,5.0,0,5.0,5.0,C. 반즈,안우진,14:00,토,고척,8257,04,2022,0,0.0,8.1,34.0,20220402,4857.958333333333,4857.958333333333,even
5,KIA,LG,2,3,6.0,1.0,0,5.0,5.0,진해수,S. 놀린,14:00,일,광주,10290,04,2022,0,0.0,8.4,28.0,20220403,16908.0,8394.361111111111,lose
6,KT,Samsung,5,6,1.0,6.0,0,5.0,5.0,임대한,김재윤,14:00,일,수원,10321,04,2022,0,0.0,6.9,70.0,20220403,17057.0,7392.611111111111,win
7,NC,SSG,1,4,6.0,1.0,0,5.0,5.0,노경은,W. 파슨스,14:00,일,창원,4808,04,2022,0,0.0,11.3,31.0,20220403,7814.0,5125.25,lose
8,Doosan,Hanhwa,1,0,1.0,6.0,0,5.0,5.0,최원준,N. 킹험,14:00,일,잠실,11345,04,2022,0,0.0,10.6,45.0,20220403,16271.0,8952.972222222223,win
9,Kiwoom,Lotte,4,3,6.0,1.0,0,5.0,5.0,이승호,최준용,14:00,일,고척,6115,04,2022,0,0.0,10.1,45.0,20220403,8257.0,4857.958333333333,lose
10,KIA,Hanhwa,4,3,8.0,8.0,0,5.0,5.0,유승철,장시환,18:30,화,광주,2840,04,2022,0,0.0,9.5,32.0,20220405,10290.0,8394.361111111111,even
11,KT,SSG,5,8,5.0,1.0,0,5.0,5.0,박민호,O. 데스파이네,18:30,화,수원,2055,04,2022,0,0.0,8.1,73.0,20220405,10321.0,7392.611111111111,even
12,NC,Lotte,1,5,8.0,5.0,0,5.0,5.0,김진욱,신민혁,18:30,화,창원,3246,04,2022,0,0.0,13.2,34.0,20220405,4808.0,5125.25,even
13,Doosan,Samsung,5,6,1.0,5.0,0,5.0,5.0,이재익,홍건희,18:30,화,잠실,4109,04,2022,0,0.0,11.7,41.0,20220405,11345.0,8952.972222222223,even
14,Kiwoom,LG,4,8,5.0,1.0,0,5.0,5.0,임찬규,노운현,18:30,화,고척,2298,04,2022,0,0.0,10.7,41.0,20220405,6115.0,4857.958333333333,even
