index,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match,pythagorean_expectation,games_back,home_win_rate,3game_results,3game_evens
0,KT,LG,11,6,5.0,5.0,0,5.0,5.0,W. 벤자민,C. 켈리,14:00,토,수원,18700,4,2023,1,0.0,15.7,112.0,20230401,9552.739726027396,9552.739726027396,even,0.5,0.0,0.0,0,0
1,SSG,KIA,4,1,5.0,5.0,0,5.0,5.0,김광현,S. 앤더슨,14:00,토,문학,23000,4,2023,1,0.0,14.8,88.0,20230401,14633.027397260274,14633.027397260274,even,0.5,0.0,,0,0
2,Doosan,Lotte,12,10,5.0,5.0,0,5.0,5.0,최지강,문경찬,14:00,토,잠실,23750,4,2023,1,0.0,18.4,88.0,20230401,13281.671232876712,13281.671232876712,even,0.5,0.0,,0,0
3,Samsung,NC,0,8,5.0,5.0,0,5.0,5.0,E. 페디,D. 뷰캐넌,14:00,토,대구,24000,4,2023,1,0.0,14.6,53.0,20230401,11912.323943661971,11912.323943661971,even,0.5,0.0,,0,0
4,Kiwoom,Hanhwa,3,2,5.0,5.0,0,5.0,5.0,문성현,장시환,14:00,토,고척,16000,4,2023,1,0.0,17.3,88.0,20230401,8220.12676056338,8220.12676056338,even,0.5,0.0,,0,0
5,KT,LG,9,10,1.0,6.0,0,5.0,5.0,함덕주,박영현,14:00,일,수원,14700,4,2023,0,0.0,17.8,76.0,20230402,18700.0,9552.739726027396,win,0.7707006369426752,1.0,1.0,0,0
6,SSG,KIA,5,9,1.0,6.0,0,5.0,5.0,이의리,K. 맥카티,14:00,일,문학,23000,4,2023,0,0.0,16.4,52.0,20230402,23000.0,14633.027397260274,win,0.9411764705882353,1.0,1.0,0,0
7,Doosan,Lotte,0,2,1.0,6.0,0,5.0,5.0,나균안,최원준,14:00,일,잠실,23750,4,2023,0,0.0,19.6,52.0,20230402,23750.0,13281.671232876712,win,0.5901639344262295,1.0,1.0,0,0
8,Samsung,NC,8,6,6.0,1.0,0,5.0,5.0,이승현,김진호,14:00,일,대구,18483,4,2023,0,0.0,13.6,34.0,20230402,24000.0,11912.323943661971,lose,0.0,1.0,0.0,0,0
9,Kiwoom,Hanhwa,7,6,1.0,6.0,0,5.0,5.0,김재웅,주현상,14:00,일,고척,11562,4,2023,0,0.0,19.3,52.0,20230402,16000.0,8220.12676056338,win,0.6923076923076923,1.0,1.0,0,0
10,SSG,Lotte,3,1,9.0,9.0,0,5.0,5.0,오원석,박세웅,18:30,화,문학,5809,4,2023,0,11.0,17.1,32.0,20230404,23000.0,14633.027397260274,even,0.44751381215469616,0.0,0.5,0,0
11,Doosan,NC,1,0,9.0,9.0,0,5.0,5.0,정철원,심창민,18:30,화,잠실,3924,4,2023,0,8.5,17.9,32.0,20230404,23750.0,13281.671232876712,even,0.5,0.0,0.5,0,0
12,Samsung,Hanhwa,7,6,9.0,10.0,0,5.0,5.0,이승현,한승주,18:30,화,대구,5936,4,2023,0,1.5,14.7,25.0,20230404,18483.0,11912.323943661971,even,0.24615384615384617,1.0,0.5,0,0
13,Kiwoom,LG,1,7,1.0,9.0,0,5.0,5.0,A. 플럿코,A. 후라도,18:30,화,고척,4510,4,2023,0,7.5,17.9,32.0,20230404,11562.0,8220.12676056338,even,0.6097560975609756,1.0,1.0,0,0
14,Doosan,NC,3,9,1.0,5.0,0,5.0,5.0,신민혁,최승용,18:30,수,잠실,2172,4,2023,0,42.5,12.8,18.0,20230405,3924.0,13281.671232876712,win,0.5399361022364217,1.0,0.6666666666666666,0,0
15,Kiwoom,LG,2,1,1.0,1.0,0,5.0,5.0,최원태,이민호,18:30,수,고척,4194,4,2023,0,37.0,11.9,18.0,20230405,4510.0,8220.12676056338,lose,0.34971098265895956,0.0,0.6666666666666666,0,0
16,Doosan,NC,6,2,6.0,6.0,0,5.0,5.0,김동주,이준호,18:30,목,잠실,3724,4,2023,0,2.5,9.5,63.0,20230406,2172.0,13281.671232876712,lose,0.3672883787661406,0.0,0.5,0,0
17,Samsung,Hanhwa,1,8,6.0,10.0,0,5.0,5.0,문동주,백정현,18:30,목,대구,6525,4,2023,0,3.5,14.5,18.0,20230406,5936.0,11912.323943661971,win,0.36,2.0,0.6666666666666666,0,0
18,Kiwoom,LG,0,5,1.0,6.0,0,5.0,5.0,강효종,장재영,18:30,목,고척,4556,4,2023,0,3.5,8.7,63.0,20230406,4194.0,8220.12676056338,win,0.3976470588235294,1.0,0.75,0,0
19,KIA,Doosan,1,4,8.0,1.0,0,5.0,4.4,R. 알칸타라,S. 앤더슨,18:30,금,광주,12821,4,2023,0,0.5,8.5,55.0,20230407,10098.94366197183,10098.94366197183,even,0.5,1.5,0.5,0,0
