,date,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수
54,20230415,LG,두산,3,1,1.0,3.0,0,8.0,4.2,A. 플럿코,곽빈,17:00,토,잠실,21243
55,20230415,SSG,NC,0,1,1.0,2.0,0,4.4,3.2,이용찬,백승건,17:00,토,문학,13956
56,20230415,삼성,롯데,5,9,7.0,7.0,0,5.2,6.8,나균안,A. 수아레즈,17:00,토,대구,18231
57,20230415,키움,KIA,6,1,4.0,9.0,0,5.6,2.2,A. 후라도,윤영철,17:00,토,고척,13752
58,20230416,KT,한화,14,2,9.0,9.0,0,4.0,4.8,B. 슐서,남지민,14:00,일,수원,13010
59,20230416,LG,두산,5,10,1.0,5.0,0,8.0,3.2,정철원,정우영,14:00,일,잠실,20090
60,20230416,SSG,NC,5,10,3.0,3.0,0,3.8,2.2,하준영,오원석,14:00,일,문학,13460
61,20230416,삼성,롯데,9,1,9.0,6.0,0,5.8,7.6,원태인,C. 반즈,14:00,일,대구,16076
62,20230416,키움,KIA,2,0,5.0,10.0,0,5.8,2.0,김태훈,김대유,14:00,일,고척,11265
63,20230418,KT,SSG,4,2,7.0,2.0,0,6.8,3.8,고영표,문승원,18:30,화,수원,3398
64,20230418,LG,NC,4,6,1.0,1.0,0,8.0,4.0,김시훈,이우찬,18:30,화,잠실,6574
65,20230418,롯데,KIA,7,5,7.0,9.0,0,6.6,1.2,김상수,김대유,18:30,화,사직,3829
66,20230418,키움,삼성,4,6,4.0,7.0,0,6.0,6.8,백정현,장재영,18:30,화,고척,3104
67,20230418,한화,두산,0,2,8.0,4.0,0,4.2,4.6,정철원,김범수,18:30,화,대전,4012
68,20230419,KT,SSG,5,2,8.0,4.0,0,7.4,3.6,엄상백,박종훈,18:30,수,수원,3405
69,20230419,LG,NC,7,5,2.0,1.0,0,6.4,4.2,이우찬,김영규,18:30,수,잠실,7090
70,20230419,롯데,KIA,0,6,8.0,10.0,0,6.4,1.8,이의리,한현희,18:30,수,사직,4869
71,20230419,키움,삼성,5,9,5.0,8.0,0,6.0,8.0,이상민,이영준,18:30,수,고척,3869
72,20230419,한화,두산,7,6,9.0,4.0,0,4.2,3.8,강재민,최지강,18:30,수,대전,4212
73,20230420,KT,SSG,5,8,6.0,3.0,0,6.4,2.2,최민준,W. 벤자민,18:30,목,수원,4472
74,20230420,LG,NC,9,4,1.0,1.0,0,6.4,4.6,김윤식,송명기,18:30,목,잠실,9090
75,20230420,롯데,KIA,5,3,7.0,9.0,0,4.8,2.8,김진욱,A. 메디나,18:30,목,사직,6423
76,20230420,키움,삼성,6,1,6.0,6.0,0,5.2,7.6,E. 요키시,D. 뷰캐넌,18:30,목,고척,3918
77,20230420,한화,두산,1,5,8.0,3.0,0,4.6,4.6,R. 알칸타라,김민우,18:30,목,대전,4122
78,20230421,KIA,삼성,5,4,10.0,8.0,0,3.0,6.0,김기훈,이승현,18:30,금,광주,6870
79,20230421,NC,롯데,2,3,2.0,8.0,0,5.2,4.4,김원중,김영규,18:30,금,창원,12613
80,20230421,SSG,키움,3,1,4.0,5.0,0,3.4,4.6,김광현,A. 후라도,18:30,금,문학,12374
