index,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match,pythagorean_expectation,games_back,home_win_rate,3game_results,3game_evens
26,SSG,KIA,3,0,1.0,5.0,0,4.6,3.8,서진용,홍상삼,18:30,금,문학,15615,4,2022,0,0.0,11.8,54.0,20220408,13632.583333333334,13632.583333333334,even,0.5,2.0,1.0,0,0
27,Lotte,Doosan,1,6,5.0,5.0,0,3.4,3.8,R. 스탁,이승헌,18:30,금,사직,8860,4,2022,0,0.0,13.9,41.0,20220408,8773.0,8773.0,even,0.5,0.0,0.6,0,0
28,Samsung,Kiwoom,0,1,5.0,8.0,0,5.0,2.2,안우진,D. 뷰캐넌,18:30,금,대구,9244,4,2022,0,0.0,15.2,38.0,20220408,9367.388888888889,9367.388888888889,even,0.5,2.0,0.6,0,0
29,Hanhwa,KT,2,4,9.0,8.0,0,2.6,3.4,W. 쿠에바스,윤호솔,18:30,금,대전,5520,4,2022,0,0.0,12.1,31.0,20220408,4974.861111111111,4974.861111111111,even,0.5,1.0,0.0,0,0
30,LG,NC,7,6,2.0,9.0,0,4.0,2.4,이민호,W. 파슨스,17:00,토,잠실,14328,4,2022,0,0.0,18.5,58.0,20220409,10623.0,12918.930555555557,lose,0.8742203742203742,3.0,0.8333333333333334,0,0
31,SSG,KIA,9,5,1.0,6.0,0,4.4,3.8,김광현,이민우,17:00,토,문학,21005,4,2022,0,0.5,16.8,58.0,20220409,15615.0,13632.583333333334,win,0.892998678996037,3.0,1.0,0,0
32,Lotte,Doosan,5,4,6.0,3.0,0,2.2,3.8,박세웅,최원준,17:00,토,사직,13045,4,2022,0,0.0,17.7,39.0,20220409,8860.0,8773.0,lose,0.472992700729927,1.0,0.5,0,0
33,Samsung,Kiwoom,0,3,6.0,9.0,0,4.8,2.0,E. 요키시,A. 수아레즈,17:00,토,대구,13059,4,2022,0,0.0,18.7,43.0,20220409,9244.0,9367.388888888889,lose,0.563570784490532,1.0,0.5,0,0
34,Hanhwa,KT,7,1,10.0,9.0,0,2.2,3.4,N. 킹험,배제성,17:00,토,대전,6538,4,2022,0,0.0,16.8,37.0,20220409,5520.0,4974.861111111111,lose,0.22299306243805747,2.0,0.0,0,0
35,LG,NC,5,3,2.0,9.0,0,4.8,3.4,C. 켈리,신민혁,14:00,일,잠실,13095,4,2022,0,0.0,19.0,51.0,20220410,14328.0,12918.930555555557,win,0.8176656151419558,4.0,0.8571428571428571,0,0
36,SSG,KIA,11,2,1.0,7.0,0,5.4,4.4,노경은,로니,14:00,일,문학,17849,4,2022,0,0.0,16.8,51.0,20220410,21005.0,13632.583333333334,win,0.8620689655172413,4.0,1.0,0,0
