index,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match,pythagorean_expectation,games_back,home_win_rate,3game_results,3game_evens,home_view,home_recommend,home_reply,away_view,away_recommend,away_reply
0,KIA,LG,0,9,5.0,5.0,0,5.0,5.0,A. 플럿코,양현종,14:00,토,광주,16908,4,2022,0,0.0,7.4,21.0,20220402,8394.361111111111,8394.361111111111,even,0.5,0.0,0.0,0,0,117480.0,4843.0,662.0,19741.0,517.0,122.0
1,KT,Samsung,4,1,5.0,5.0,0,5.0,5.0,W. 쿠에바스,D. 뷰캐넌,14:00,토,수원,17057,4,2022,0,0.0,5.4,46.0,20220402,7392.611111111111,7392.611111111111,even,0.5,0.0,,0,0,12915.0,409.0,142.0,103933.0,2048.0,429.0
2,NC,SSG,0,4,5.0,5.0,0,5.0,5.0,W. 폰트,심창민,14:00,토,창원,7814,4,2022,0,0.0,10.5,23.0,20220402,5125.25,5125.25,even,0.5,0.0,,0,0,40989.0,894.0,324.0,39982.0,1235.0,247.0
3,Doosan,Hanhwa,6,4,5.0,5.0,0,5.0,5.0,R. 스탁,김민우,14:00,토,잠실,16271,4,2022,0,0.0,9.3,34.0,20220402,8952.972222222223,8952.972222222223,even,0.5,0.0,,0,0,33299.0,776.0,192.0,87955.0,1969.0,613.0
4,Kiwoom,Lotte,2,7,5.0,5.0,0,5.0,5.0,C. 반즈,안우진,14:00,토,고척,8257,4,2022,0,0.0,8.1,34.0,20220402,4857.958333333333,4857.958333333333,even,0.5,0.0,,0,0,26960.0,620.0,182.0,95373.0,2390.0,445.0
5,KIA,LG,2,3,6.0,1.0,0,5.0,5.0,진해수,S. 놀린,14:00,일,광주,10290,4,2022,0,0.0,8.4,28.0,20220403,16908.0,8394.361111111111,lose,0.0,1.0,0.0,0,0,156978.0,5146.0,689.0,150863.0,4799.0,879.0
6,KT,Samsung,5,6,1.0,6.0,0,5.0,5.0,임대한,김재윤,14:00,일,수원,10321,4,2022,0,0.0,6.9,70.0,20220403,17057.0,7392.611111111111,win,0.9411764705882352,1.0,1.0,0,0,36366.0,1200.0,264.0,123156.0,3124.0,685.0
7,NC,SSG,1,4,6.0,1.0,0,5.0,5.0,노경은,W. 파슨스,14:00,일,창원,4808,4,2022,0,0.0,11.3,31.0,20220403,7814.0,5125.25,lose,0.0,1.0,0.0,0,0,123266.0,2821.0,491.0,220057.0,7591.0,1155.0
8,Doosan,Hanhwa,1,0,1.0,6.0,0,5.0,5.0,최원준,N. 킹험,14:00,일,잠실,11345,4,2022,0,0.0,10.6,45.0,20220403,16271.0,8952.972222222223,win,0.6923076923076923,1.0,1.0,0,0,178209.0,6173.0,827.0,147116.0,3738.0,816.0
9,Kiwoom,Lotte,4,3,6.0,1.0,0,5.0,5.0,이승호,최준용,14:00,일,고척,6115,4,2022,0,0.0,10.1,45.0,20220403,8257.0,4857.958333333333,lose,0.0754716981132075,1.0,0.0,0,0,59864.0,2096.0,399.0,361510.0,12302.0,1689.0
