,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match
32,Lotte,KT,5,3,10.0,6.0,0,3.4,5.0,나균안,박세진,14:00,일,사직,12283,04,2023,0,0.0,12.9,42.0,20230409,16555.0,12215.684931506848,lose
33,Hanhwa,SSG,0,3,10.0,4.0,0,5.6,5.2,K. 맥카티,F. 페냐,14:00,일,대전,9455,04,2023,0,0.0,8.9,56.0,20230409,11232.0,7764.178082191781,lose
34,KIA,Hanhwa,4,5,9.0,10.0,0,4.0,4.4,김범수,정해영,18:30,화,광주,3623,04,2023,0,0.0,15.7,33.0,20230411,14070.0,10098.94366197183,even
35,NC,KT,1,0,4.0,6.0,0,6.0,7.4,신민혁,B. 슐서,18:30,화,창원,2069,04,2023,0,0.0,17.1,25.0,20230411,7686.0,7853.619718309859,even
36,Doosan,Kiwoom,6,4,4.0,6.0,0,4.4,1.6,박치국,김동혁,18:30,화,잠실,4372,04,2023,0,2.0,14.0,68.0,20230411,3724.0,11464.0,even
37,Lotte,LG,6,5,9.0,1.0,0,2.4,3.6,신정락,정우영,18:30,화,사직,5286,04,2023,0,0.0,17.6,25.0,20230411,12283.0,12215.684931506848,even
38,Samsung,SSG,4,5,9.0,4.0,0,2.6,5.0,노경은,이승현,18:30,화,대구,3907,04,2023,0,0.0,17.9,44.4,20230411,6525.0,11912.323943661971,even
39,KIA,Hanhwa,2,0,7.0,7.0,0,4.6,4.2,S. 앤더슨,문동주,18:30,수,광주,5252,04,2023,0,0.0,11.3,224.0,20230412,3623.0,10098.94366197183,lose
40,NC,KT,5,1,1.0,4.0,0,4.4,5.2,이용준,고영표,18:30,수,창원,2448,04,2023,0,0.0,15.1,190.0,20230412,2069.0,7853.619718309859,win
41,Lotte,LG,8,12,4.0,1.0,0,3.2,4.4,김영준,김원중,18:30,수,사직,6519,04,2023,0,0.0,14.2,190.0,20230412,5286.0,12215.684931506848,win
42,Samsung,SSG,0,3,7.0,1.0,0,2.0,5.0,문승원,백정현,18:30,수,대구,5405,04,2023,0,0.0,14.5,232.0,20230412,3907.0,11770.2,lose
43,KIA,Hanhwa,1,5,6.0,8.0,0,3.2,2.6,장민재,이의리,18:30,목,광주,5457,04,2023,0,0.0,13.1,101.0,20230413,5252.0,10439.6,win
44,NC,KT,3,10,1.0,6.0,0,5.0,3.6,손동현,E. 페디,18:30,목,창원,3174,04,2023,0,0.0,14.6,72.0,20230413,2448.0,5766.6,win
45,Doosan,Kiwoom,2,9,2.0,6.0,0,5.0,2.0,안우진,김동주,18:30,목,잠실,6917,04,2023,0,0.0,13.2,226.0,20230413,4372.0,7588.4,win
46,Lotte,LG,8,7,6.0,1.0,0,4.6,5.8,한현희,C. 켈리,18:30,목,사직,6505,04,2023,0,0.0,15.6,72.0,20230413,6519.0,11075.4,lose
47,Samsung,SSG,11,9,8.0,1.0,0,1.8,5.0,오승환,고효준,18:30,목,대구,4648,04,2023,0,0.0,15.7,122.0,20230413,5405.0,8051.2,lose
48,KT,Hanhwa,7,7,5.0,8.0,0,4.2,3.0,,,18:30,금,수원,7145,04,2023,0,0.0,15.1,93.0,20230414,14700.0,9552.739726027397,even
49,LG,Doosan,13,4,1.0,2.0,0,5.8,4.2,김윤식,R. 알칸타라,18:30,금,잠실,16528,04,2023,0,0.0,16.9,109.0,20230414,20439.0,16938.549295774646,even
50,SSG,NC,2,1,1.0,1.0,0,5.4,5.2,송영진,송명기,18:30,금,문학,8218,04,2023,0,0.0,15.1,109.0,20230414,5809.0,14633.027397260274,even
51,Samsung,Lotte,9,7,8.0,5.0,0,3.6,6.0,D. 뷰캐넌,D. 스트레일리,18:30,금,대구,9124,04,2023,0,0.5,16.3,61.0,20230414,4648.0,5284.2,even
52,Kiwoom,KIA,9,2,5.0,8.0,0,3.8,3.2,E. 요키시,A. 메디나,18:30,금,고척,8043,04,2023,0,0.0,16.7,109.0,20230414,4556.0,8164.4,even
53,KT,Hanhwa,2,7,7.0,9.0,0,4.2,3.4,F. 페냐,배제성,17:00,토,수원,13212,04,2023,0,0.0,12.0,66.0,20230415,7145.0,9552.739726027397,even
54,LG,Doosan,3,1,1.0,3.0,0,8.0,4.2,A. 플럿코,곽빈,17:00,토,잠실,21243,04,2023,0,1.5,14.0,61.0,20230415,16528.0,16938.549295774646,win
55,SSG,NC,0,1,1.0,2.0,0,4.4,3.2,이용찬,백승건,17:00,토,문학,13956,04,2023,0,3.0,11.7,61.0,20230415,8218.0,14633.027397260274,win
56,Samsung,Lotte,5,9,7.0,7.0,0,5.2,6.8,나균안,A. 수아레즈,17:00,토,대구,18231,04,2023,0,1.0,12.8,31.0,20230415,9124.0,5921.8,win
57,Kiwoom,KIA,6,1,4.0,9.0,0,5.6,2.2,A. 후라도,윤영철,17:00,토,고척,13752,04,2023,0,3.5,12.8,61.0,20230415,8043.0,6573.0,win
58,KT,Hanhwa,14,2,9.0,9.0,0,4.0,4.8,B. 슐서,남지민,14:00,일,수원,13010,04,2023,0,0.0,10.0,109.0,20230416,13212.0,9552.739726027397,lose
59,LG,Doosan,5,10,1.0,5.0,0,8.0,3.2,정철원,정우영,14:00,일,잠실,20090,04,2023,0,0.0,11.9,118.0,20230416,21243.0,19510.4,win
60,SSG,NC,5,10,3.0,3.0,0,3.8,2.2,하준영,오원석,14:00,일,문학,13460,04,2023,0,0.0,10.3,118.0,20230416,13956.0,14796.6,lose
61,Samsung,Lotte,9,1,9.0,6.0,0,5.8,7.6,원태인,C. 반즈,14:00,일,대구,16076,04,2023,0,0.0,11.9,83.0,20230416,18231.0,8263.0,lose
62,Kiwoom,KIA,2,0,5.0,10.0,0,5.8,2.0,김태훈,김대유,14:00,일,고척,11265,04,2023,0,0.0,11.0,118.0,20230416,13752.0,7011.0,win
63,KT,SSG,4,2,7.0,2.0,0,6.8,3.8,고영표,문승원,18:30,화,수원,3398,04,2023,0,0.0,13.3,57.0,20230418,13010.0,13353.4,even
64,LG,NC,4,6,1.0,1.0,0,8.0,4.0,김시훈,이우찬,18:30,화,잠실,6574,04,2023,0,2.0,14.1,55.0,20230418,20090.0,20088.2,even
65,Lotte,KIA,7,5,7.0,9.0,0,6.6,1.2,김상수,김대유,18:30,화,사직,3829,04,2023,0,0.0,17.1,44.0,20230418,6505.0,9429.6,even
66,Kiwoom,Samsung,4,6,4.0,7.0,0,6.0,6.8,백정현,장재영,18:30,화,고척,3104,04,2023,0,1.5,14.4,55.0,20230418,11265.0,8362.0,even
67,Hanhwa,Doosan,0,2,8.0,4.0,0,4.2,4.6,정철원,김범수,18:30,화,대전,4012,04,2023,0,2.0,14.0,37.0,20230418,9455.0,7764.178082191781,even
68,KT,SSG,5,2,8.0,4.0,0,7.4,3.6,엄상백,박종훈,18:30,수,수원,3405,04,2023,0,0.0,17.8,45.0,20230419,3398.0,10293.0,win
69,LG,NC,7,5,2.0,1.0,0,6.4,4.2,이우찬,김영규,18:30,수,잠실,7090,04,2023,0,0.0,19.5,44.0,20230419,6574.0,16974.8,lose
70,Lotte,KIA,0,6,8.0,10.0,0,6.4,1.8,이의리,한현희,18:30,수,사직,4869,04,2023,0,0.0,17.0,38.8,20230419,3829.0,6884.4,win
71,Kiwoom,Samsung,5,9,5.0,8.0,0,6.0,8.0,이상민,이영준,18:30,수,고척,3869,04,2023,0,0.0,19.3,44.0,20230419,3104.0,8144.0,lose
72,Hanhwa,Doosan,7,6,9.0,4.0,0,4.2,3.8,강재민,최지강,18:30,수,대전,4212,04,2023,0,0.0,19.7,38.0,20230419,4012.0,7764.178082191781,lose
73,KT,SSG,5,8,6.0,3.0,0,6.4,2.2,최민준,W. 벤자민,18:30,목,수원,4472,04,2023,0,0.0,15.2,41.0,20230420,3405.0,8034.0,win
74,LG,NC,9,4,1.0,1.0,0,6.4,4.6,김윤식,송명기,18:30,목,잠실,9090,04,2023,0,0.0,17.0,15.0,20230420,7090.0,14305.0,win
75,Lotte,KIA,5,3,7.0,9.0,0,4.8,2.8,김진욱,A. 메디나,18:30,목,사직,6423,04,2023,0,0.0,20.9,29.2,20230420,4869.0,5401.6,lose
76,Kiwoom,Samsung,6,1,6.0,6.0,0,5.2,7.6,E. 요키시,D. 뷰캐넌,18:30,목,고척,3918,04,2023,0,0.0,15.4,15.0,20230420,3869.0,8006.6,lose
